Index,X,Y
0,2083000,370750
1,2083250,370750
2,2083500,370750
3,2083750,370750
4,2084000,370750
5,2084250,370750
6,2084500,370750
7,2081000,370500
8,2081250,370500
9,2081500,370500
10,2081750,370500
11,2082000,370500
12,2082250,370500
13,2082500,370500
14,2082750,370500
15,2083000,370500
16,2083250,370500
17,2083500,370500
18,2083750,370500
19,2084000,370500
20,2084250,370500
21,2084500,370500
22,2080500,370250
23,2080750,370250
24,2081000,370250
25,2081250,370250
26,2081500,370250
27,2081750,370250
28,2082000,370250
29,2082250,370250
30,2082500,370250
31,2082750,370250
32,2083000,370250
33,2083250,370250
34,2083500,370250
35,2083750,370250
36,2084000,370250
37,2084250,370250
38,2084500,370250
39,2080250,370000
40,2080500,370000
41,2080750,370000
42,2081000,370000
43,2081250,370000
44,2081500,370000
45,2081750,370000
46,2082000,370000
47,2082250,370000
48,2082500,370000
49,2082750,370000
50,2083000,370000
51,2083250,370000
52,2083500,370000
53,2083750,370000
54,2084000,370000
55,2084250,370000
56,2084500,370000
57,2073250,369750
58,2073500,369750
59,2073750,369750
60,2074000,369750
61,2074250,369750
62,2074500,369750
63,2074750,369750
64,2075000,369750
65,2075250,369750
66,2075500,369750
67,2079750,369750
68,2080000,369750
69,2080250,369750
70,2080500,369750
71,2080750,369750
72,2081000,369750
73,2081250,369750
74,2081500,369750
75,2081750,369750
76,2082000,369750
77,2082250,369750
78,2082500,369750
79,2082750,369750
80,2083000,369750
81,2083250,369750
82,2083500,369750
83,2083750,369750
84,2084000,369750
85,2084250,369750
86,2084500,369750
87,2073000,369500
88,2073250,369500
89,2073500,369500
90,2073750,369500
91,2074000,369500
92,2074250,369500
93,2074500,369500
94,2074750,369500
95,2075000,369500
96,2075250,369500
97,2075500,369500
98,2075750,369500
99,2076000,369500
100,2076250,369500
101,2076500,369500
102,2076750,369500
103,2079250,369500
104,2079500,369500
105,2079750,369500
106,2080000,369500
107,2080250,369500
108,2080500,369500
109,2080750,369500
110,2081000,369500
111,2081250,369500
112,2081500,369500
113,2081750,369500
114,2082000,369500
115,2082250,369500
116,2082500,369500
117,2082750,369500
118,2083000,369500
119,2083250,369500
120,2083500,369500
121,2083750,369500
122,2084000,369500
123,2084250,369500
124,2084500,369500
125,2072500,369250
126,2072750,369250
127,2073000,369250
128,2073250,369250
129,2073500,369250
130,2073750,369250
131,2074000,369250
132,2074250,369250
133,2074500,369250
134,2074750,369250
135,2075000,369250
136,2075250,369250
137,2075500,369250
138,2075750,369250
139,2076000,369250
140,2076250,369250
141,2076500,369250
142,2076750,369250
143,2077000,369250
144,2077250,369250
145,2077500,369250
146,2077750,369250
147,2078000,369250
148,2078250,369250
149,2078500,369250
150,2078750,369250
151,2079000,369250
152,2079250,369250
153,2079500,369250
154,2079750,369250
155,2080000,369250
156,2080250,369250
157,2080500,369250
158,2080750,369250
159,2081000,369250
160,2081250,369250
161,2081500,369250
162,2081750,369250
163,2082000,369250
164,2082250,369250
165,2082500,369250
166,2082750,369250
167,2083000,369250
168,2083250,369250
169,2083500,369250
170,2083750,369250
171,2084000,369250
172,2084250,369250
173,2084500,369250
174,2071750,369000
175,2072000,369000
176,2072250,369000
177,2072500,369000
178,2072750,369000
179,2073000,369000
180,2073250,369000
181,2073500,369000
182,2073750,369000
183,2074000,369000
184,2074250,369000
185,2074500,369000
186,2074750,369000
187,2075000,369000
188,2075250,369000
189,2075500,369000
190,2075750,369000
191,2076000,369000
192,2076250,369000
193,2076500,369000
194,2076750,369000
195,2077000,369000
196,2077250,369000
197,2077500,369000
198,2077750,369000
199,2078000,369000
200,2078250,369000
201,2078500,369000
202,2078750,369000
203,2079000,369000
204,2079250,369000
205,2079500,369000
206,2079750,369000
207,2080000,369000
208,2080250,369000
209,2080500,369000
210,2080750,369000
211,2081000,369000
212,2081250,369000
213,2081500,369000
214,2081750,369000
215,2082000,369000
216,2082250,369000
217,2082500,369000
218,2082750,369000
219,2083000,369000
220,2083250,369000
221,2083500,369000
222,2083750,369000
223,2084000,369000
224,2084250,369000
225,2084500,369000
226,2071250,368750
227,2071500,368750
228,2071750,368750
229,2072000,368750
230,2072250,368750
231,2072500,368750
232,2072750,368750
233,2073000,368750
234,2073250,368750
235,2073500,368750
236,2073750,368750
237,2074000,368750
238,2074250,368750
239,2074500,368750
240,2074750,368750
241,2075000,368750
242,2075250,368750
243,2075500,368750
244,2075750,368750
245,2076000,368750
246,2076250,368750
247,2076500,368750
248,2076750,368750
249,2077000,368750
250,2077250,368750
251,2077500,368750
252,2077750,368750
253,2078000,368750
254,2078250,368750
255,2078500,368750
256,2078750,368750
257,2079000,368750
258,2079250,368750
259,2079500,368750
260,2079750,368750
261,2080000,368750
262,2080250,368750
263,2080500,368750
264,2080750,368750
265,2081000,368750
266,2081250,368750
267,2081500,368750
268,2081750,368750
269,2082000,368750
270,2082250,368750
271,2082500,368750
272,2082750,368750
273,2083000,368750
274,2083250,368750
275,2083500,368750
276,2083750,368750
277,2084000,368750
278,2084250,368750
279,2071000,368500
280,2071250,368500
281,2071500,368500
282,2071750,368500
283,2072000,368500
284,2072250,368500
285,2072500,368500
286,2072750,368500
287,2073000,368500
288,2073250,368500
289,2073500,368500
290,2073750,368500
291,2074000,368500
292,2074250,368500
293,2074500,368500
294,2074750,368500
295,2075000,368500
296,2075250,368500
297,2075500,368500
298,2075750,368500
299,2076000,368500
