Index,X,Y
0,2082723.922,370776.0777
1,2082875,370625
2,2083125,370625
3,2083125,370844.1852
4,2083375,370625
5,2083375,370886.6381
6,2083625,370625
7,2083625,370925.6932
8,2083875,370625
9,2083875,370958.588
10,2084125,370625
11,2084125,370991.4827
12,2084375,370625
13,2084375,370967.872
14,2084744.536,370625
15,2081125,370375
16,2081125,370603.6356
17,2080745.477,370504.5226
18,2080875,370375
19,2081375,370375
20,2081375,370628.6356
21,2081625,370375
22,2081625,370653.6356
23,2081875,370375
24,2081875,370678.6356
25,2082125,370375
26,2082125,370703.6356
27,2082375,370375
28,2082375,370728.6356
29,2082625,370375
30,2082625,370759.2796
31,2082875,370375
32,2083125,370375
33,2083375,370375
34,2083625,370375
35,2083875,370375
36,2084125,370375
37,2084375,370375
38,2084780.131,370375
39,2080625,370125
40,2080625,370457.0103
41,2080228.36,370271.6401
42,2080375,370125
43,2080875,370125
44,2081125,370125
45,2081375,370125
46,2081625,370125
47,2081875,370125
48,2082125,370125
49,2082375,370125
50,2082625,370125
51,2082875,370125
52,2083125,370125
53,2083375,370125
54,2083625,370125
55,2083875,370125
56,2084125,370125
57,2084375,370125
58,2084754.902,370125
59,2080375,369875
60,2079961.443,370038.5574
61,2080125,369875
62,2080625,369875
63,2080875,369875
64,2081125,369875
65,2081375,369875
66,2081625,369875
67,2081875,369875
68,2082125,369875
69,2082375,369875
70,2082625,369875
71,2082875,369875
72,2083125,369875
73,2083375,369875
74,2083625,369875
75,2083875,369875
76,2084125,369875
77,2084375,369875
78,2084729.673,369875
79,2073375,369625
80,2073375,369914.7837
81,2073024.303,369725.6966
82,2073125,369625
83,2073625,369625
84,2073625,369923.9942
85,2073875,369625
86,2073875,369933.2047
87,2074125,369625
88,2074125,369942.4152
89,2074375,369625
90,2074375,369951.6258
91,2074625,369625
92,2074625,369960.8363
93,2074875,369625
94,2074875,369970.0468
95,2075125,369625
96,2075125,369978.5182
97,2075375,369625
98,2075375,369893.0752
99,2075625,369625
100,2075761.113,369761.1126
101,2079875,369625
102,2079875,369963.0724
103,2079536.787,369713.2132
104,2079625,369625
105,2080125,369625
106,2080375,369625
107,2080625,369625
108,2080875,369625
109,2081125,369625
110,2081375,369625
111,2081625,369625
112,2081875,369625
113,2082125,369625
114,2082375,369625
115,2082625,369625
116,2082875,369625
117,2083125,369625
118,2083375,369625
119,2083625,369625
120,2083875,369625
121,2084125,369625
122,2084375,369625
123,2084704.443,369625
124,2073125,369375
125,2072709.086,369540.914
126,2072875,369375
127,2073375,369375
128,2073625,369375
129,2073875,369375
130,2074125,369375
131,2074375,369375
132,2074625,369375
133,2074875,369375
134,2075125,369375
135,2075375,369375
136,2075625,369375
137,2075875,369375
138,2075875,369724.6243
139,2076125,369375
140,2076125,369687.3108
141,2076375,369375
142,2076375,369649.9974
143,2076625,369375
144,2076625,369612.684
145,2076875,369375
146,2077049.348,369549.3484
147,2078982.859,369517.1413
148,2079125,369375
149,2079375,369375
150,2079375,369655.9462
151,2079625,369375
152,2079875,369375
153,2080125,369375
154,2080375,369375
155,2080625,369375
156,2080875,369375
157,2081125,369375
158,2081375,369375
159,2081625,369375
160,2081875,369375
161,2082125,369375
162,2082375,369375
163,2082625,369375
164,2082875,369375
165,2083125,369375
166,2083375,369375
167,2083625,369375
168,2083875,369375
169,2084125,369375
170,2084375,369375
171,2084665.987,369375
172,2072625,369125
173,2072625,369491.6221
174,2072202.56,369297.4398
175,2072375,369125
176,2072875,369125
177,2073125,369125
178,2073375,369125
179,2073625,369125
180,2073875,369125
181,2074125,369125
182,2074375,369125
183,2074625,369125
184,2074875,369125
185,2075125,369125
186,2075375,369125
187,2075625,369125
188,2075875,369125
189,2076125,369125
190,2076375,369125
191,2076625,369125
192,2076875,369125
193,2077125,369125
194,2077125,369538.0266
195,2077375,369125
196,2077375,369499.8322
197,2077625,369125
198,2077625,369461.6378
199,2077875,369125
200,2077875,369423.4433
201,2078125,369125
202,2078125,369385.2489
203,2078375,369125
204,2078375,369347.0544
205,2078625,369125
206,2078625,369390.4714
207,2078875,369125
208,2078875,369478.963
209,2079125,369125
210,2079375,369125
211,2079625,369125
212,2079875,369125
213,2080125,369125
214,2080375,369125
215,2080625,369125
216,2080875,369125
217,2081125,369125
218,2081375,369125
219,2081625,369125
220,2081875,369125
221,2082125,369125
222,2082375,369125
223,2082625,369125
224,2082875,369125
225,2083125,369125
226,2083375,369125
227,2083625,369125
228,2083875,369125
229,2084125,369125
230,2084375,369125
231,2084598.958,369125
232,2071499.996,369000.0039
233,2071625,368875
234,2071875,368875
235,2071875,369158.7647
236,2072125,368875
237,2072125,369264.6041
238,2072375,368875
239,2072625,368875
240,2072875,368875
241,2073125,368875
242,2073375,368875
243,2073625,368875
244,2073875,368875
245,2074125,368875
246,2074375,368875
247,2074625,368875
248,2074875,368875
249,2075125,368875
250,2075375,368875
251,2075625,368875
