Index,X,Y
0,2050950.642,357120.9253
1,2084340.942,368162.6691
2,2082544.154,370745.5511
3,2073344.977,369913.6775
4,2083536.131,370913.9999
5,2080953.249,370586.4605
6,2084247.359,371007.5826
7,2080288.812,370324.429
8,2084790.138,370474.1613
9,2079624.375,369744.2164
10,2075123.048,369979.1854
11,2072530.808,369436.4059
12,2075862.351,369726.5122
13,2077116.359,369539.3468
14,2084687.198,369454.1101
15,2078463.949,369333.4649
16,2071248.725,368893.6263
17,2070649.796,367854.8586
18,2070107.016,366694.4334
19,2070593.646,367368.2287
20,2068955.949,365505.9334
21,2068394.453,365243.9019
22,2067234.028,365000.5869
23,2066419.859,364691.7641
24,2083189.875,364503.5864
25,2081767.418,363942.0903
26,2081224.638,363090.4879
27,2066232.693,362745.2443
28,2065923.87,362829.4687
29,2066897.13,362576.7955
30,2044643.169,362745.2443
31,2048311.61,361528.6695
32,2067608.359,362296.0475
33,2068188.571,361893.642
34,2044231.405,361837.4923
35,2046149.85,357588.8387
36,2046000.118,357130.2836
37,2080606.993,360835.1454
38,2068366.378,361500.5947
39,2045382.472,356540.7127
40,2068319.587,361163.6971
41,2044689.961,360939.0986
42,2068094.989,360845.516
43,2067832.957,360723.8585
44,2045036.216,355960.5001
45,2067383.76,360471.1852
46,2066691.248,360274.6616
47,2066504.083,359919.0474
48,2049406.528,360068.7797
49,2066494.725,359769.3151
50,2066382.426,359591.5081
51,2050501.445,359816.1065
52,2050978.717,359563.4332
53,2079231.327,359618.5705
54,2051100.374,359479.2088
55,2050286.205,359423.0592
56,2077509.406,357634.6177
57,2050052.248,359469.8506
58,2065736.705,359245.2521
59,2056359.721,358281.3505
60,2050903.85,358655.6813
61,2051268.823,358693.1143
62,2050520.161,358618.2482
63,2050454.654,358449.7994
64,2058250.091,358393.6498
65,2064108.366,358403.008
66,2056968.008,358075.4687
67,2061169.87,357663.7049
68,2057248.756,357794.7206
69,2057052.232,357869.5868
70,2050679.252,357495.256
71,2057988.059,357981.886
