Index,X,Y
0,2009315.708,321138.3853
1,2009371.858,321193.5225
2,2009849.129,321633.3611
3,2010719.448,322410.0974
4,2011823.724,323093.2509
5,2012731.476,323402.0738
6,2013386.554,323551.8061
7,2013966.767,323626.6722
8,2014425.322,323729.6131
9,2015426.657,324291.1092
10,2017101.787,325329.877
11,2018037.614,326069.1801
12,2020873.169,328137.3573
13,2024429.311,330654.7314
14,2029164.594,333855.259
15,2030147.212,334332.5307
16,2031223.413,335025.0425
17,2034292.925,337008.9953
18,2038784.894,339994.2827
19,2039449.331,340331.1804
20,2040010.827,340565.1371
21,2040366.441,340565.1371
22,2040881.146,340377.9717
23,2041423.925,340125.2985
24,2041816.972,339835.1922
25,2042013.496,339722.893
26,2042228.736,339414.0701
27,2042256.811,339301.7709
28,2042350.394,338749.6331
29,2042443.976,338590.5426
30,2042659.216,338150.704
31,2042659.216,338057.1213
32,2042621.783,337963.5386
33,2042443.976,337767.015
34,2042378.468,337664.074
35,2042210.02,337542.4166
36,2042219.378,337476.9087
37,2042294.244,337411.4008
38,2042397.185,337411.4008
39,2042603.067,337476.9087
40,2042715.366,337504.9835
41,2042790.232,337504.9835
42,2042865.098,337448.8339
43,2042893.173,337205.5189
44,2042874.457,336325.8417
45,2042724.724,335783.0622
46,2042312.961,334585.2039
47,2041629.807,333958.2
48,2041274.193,333499.6448
49,2041161.894,333144.0307
50,2041152.535,332713.5503
51,2041021.52,332526.385
52,2040319.649,332067.8298
53,2039627.138,331571.8416
54,2039224.732,331431.4676
55,2038719.386,331075.8534
56,2038569.653,330832.5385
57,2038625.803,330533.0739
58,2038831.685,330233.6093
59,2039140.508,330121.3101
60,2039711.362,330233.6093
61,2040113.768,330430.133
62,2040796.921,330701.5227
63,2041218.043,331057.1369
64,2041657.882,331412.7511
65,2041751.464,331478.259
66,2041891.838,331478.259
67,2041985.421,331440.8259
68,2042041.571,331356.6015
69,2042060.287,330972.9125
70,2042079.004,330430.133
71,2042144.512,330093.2353
72,2042266.169,329924.7865
73,2042462.693,329849.9204
74,2042808.949,329728.2629
75,2043220.713,329831.2038
76,2044203.331,329896.7117
77,2044437.287,329887.3534
78,2044549.587,329831.2038
79,2044624.453,329559.814
80,2044811.618,329138.692
81,2045017.5,329026.3928
82,2045335.681,328633.3455
83,2045653.862,328090.566
84,2045747.445,327772.3849
85,2045972.043,327238.9636
